Year,Sum of Rape,STATE/UT
2009,6,A & N ISLANDS
2009,1742,ANDHRA PRADESH
2009,66,ARUNACHAL PRADESH
2009,1634,ASSAM
2009,1776,BIHAR
2009,36,CHANDIGARH
2009,1918,CHHATTISGARH
2009,12,D & N HAVELI
2009,0,DAMAN & DIU
2009,762,DELHI
2009,24,GOA
2009,572,GUJARAT
2009,796,HARYANA
2009,248,HIMACHAL PRADESH
2009,338,JAMMU & KASHMIR
2009,1134,JHARKHAND
2009,586,KARNATAKA
2009,1124,KERALA
2009,0,LAKSHADWEEP
2009,5702,MADHYA PRADESH
2009,2604,MAHARASHTRA
2009,40,MANIPUR
2009,52,MEGHALAYA
2009,104,MIZORAM
2009,34,NAGALAND
2009,1580,ODISHA
2009,18,PUDUCHERRY
2009,596,PUNJAB
2009,2098,RAJASTHAN
2009,16,SIKKIM
2009,846,TAMIL NADU
2009,204,TRIPURA
2009,3916,UTTAR PRADESH
2009,148,UTTARAKHAND
2009,1418,WEST BENGAL
2010,4,A & N ISLANDS
2010,2004,ANDHRA PRADESH
2010,76,ARUNACHAL PRADESH
2010,1940,ASSAM
2010,2080,BIHAR
2010,36,CHANDIGARH
2010,1984,CHHATTISGARH
2010,8,D & N HAVELI
2010,0,DAMAN & DIU
2010,806,DELHI
2010,24,GOA
2010,534,GUJARAT
2010,722,HARYANA
2010,274,HIMACHAL PRADESH
2010,384,JAMMU & KASHMIR
2010,1594,JHARKHAND
2010,584,KARNATAKA
2010,998,KERALA
2010,2,LAKSHADWEEP
2010,5782,MADHYA PRADESH
2010,2704,MAHARASHTRA
2010,28,MANIPUR
2010,76,MEGHALAYA
2010,152,MIZORAM
2010,34,NAGALAND
2010,1382,ODISHA
2010,12,PUDUCHERRY
2010,598,PUNJAB
2010,2102,RAJASTHAN
2010,12,SIKKIM
2010,1068,TAMIL NADU
2010,216,TRIPURA
2010,2830,UTTAR PRADESH
2010,178,UTTARAKHAND
2010,1518,WEST BENGAL
2011,4,A & N ISLANDS
2011,1892,ANDHRA PRADESH
2011,62,ARUNACHAL PRADESH
2011,2190,ASSAM
2011,1970,BIHAR
2011,36,CHANDIGARH
2011,1796,CHHATTISGARH
2011,2,D & N HAVELI
2011,10,DAMAN & DIU
2011,980,DELHI
2011,62,GOA
2011,472,GUJARAT
2011,706,HARYANA
2011,252,HIMACHAL PRADESH
2011,422,JAMMU & KASHMIR
2011,1424,JHARKHAND
2011,642,KARNATAKA
2011,788,KERALA
2011,4,LAKSHADWEEP
2011,5476,MADHYA PRADESH
2011,2536,MAHARASHTRA
2011,36,MANIPUR
2011,80,MEGHALAYA
2011,108,MIZORAM
2011,28,NAGALAND
2011,1450,ODISHA
2011,4,PUDUCHERRY
2011,760,PUNJAB
2011,2100,RAJASTHAN
2011,20,SIKKIM
2011,1114,TAMIL NADU
2011,228,TRIPURA
2011,1822,UTTAR PRADESH
2011,214,UTTARAKHAND
2011,2004,WEST BENGAL
2012,20,A & N ISLANDS
2012,2032,ANDHRA PRADESH
2012,84,ARUNACHAL PRADESH
2012,2342,ASSAM
2012,2780,BIHAR
2012,38,CHANDIGARH
2012,1938,CHHATTISGARH
2012,14,D & N HAVELI
2012,2,DAMAN & DIU
2012,1102,DELHI
2012,74,GOA
2012,678,GUJARAT
2012,772,HARYANA
2012,306,HIMACHAL PRADESH
2012,436,JAMMU & KASHMIR
2012,1594,JHARKHAND
2012,582,KARNATAKA
2012,960,KERALA
2012,0,LAKSHADWEEP
2012,5750,MADHYA PRADESH
2012,2776,MAHARASHTRA
2012,62,MANIPUR
2012,108,MEGHALAYA
2012,40,MIZORAM
2012,36,NAGALAND
2012,1540,ODISHA
2012,8,PUDUCHERRY
2012,780,PUNJAB
2012,2076,RAJASTHAN
2012,6,SIKKIM
2012,1236,TAMIL NADU
2012,320,TRIPURA
2012,2794,UTTAR PRADESH
2012,230,UTTARAKHAND
2012,2950,WEST BENGAL
2013,8,A & N ISLANDS
2013,1870,ANDHRA PRADESH
2013,70,ARUNACHAL PRADESH
2013,2476,ASSAM
2013,2294,BIHAR
2013,66,CHANDIGARH
2013,1980,CHHATTISGARH
2013,10,D & N HAVELI
2013,4,DAMAN & DIU
2013,1316,DELHI
2013,40,GOA
2013,648,GUJARAT
2013,922,HARYANA
2013,282,HIMACHAL PRADESH
2013,402,JAMMU & KASHMIR
2013,1506,JHARKHAND
2013,686,KARNATAKA
2013,956,KERALA
2013,0,LAKSHADWEEP
2013,5842,MADHYA PRADESH
2013,3090,MAHARASHTRA
2013,50,MANIPUR
2013,126,MEGHALAYA
2013,74,MIZORAM
2013,34,NAGALAND
2013,1598,ODISHA
2013,12,PUDUCHERRY
2013,796,PUNJAB
2013,1986,RAJASTHAN
2013,36,SIKKIM
2013,1142,TAMIL NADU
2013,324,TRIPURA
2013,2434,UTTAR PRADESH
2013,266,UTTARAKHAND
2013,3372,WEST BENGAL
2014,12,A & N ISLANDS
2014,2098,ANDHRA PRADESH
2014,74,ARUNACHAL PRADESH
2014,2488,ASSAM
2014,2464,BIHAR
2014,38,CHANDIGARH
2014,1990,CHHATTISGARH
2014,12,D & N HAVELI
2014,6,DAMAN & DIU
2014,1246,DELHI
2014,42,GOA
2014,708,GUJARAT
2014,1216,HARYANA
2014,226,HIMACHAL PRADESH
2014,500,JAMMU & KASHMIR
2014,1598,JHARKHAND
2014,800,KARNATAKA
2014,1202,KERALA
2014,0,LAKSHADWEEP
2014,5800,MADHYA PRADESH
2014,3000,MAHARASHTRA
2014,80,MANIPUR
2014,148,MEGHALAYA
2014,144,MIZORAM
2014,46,NAGALAND
2014,1970,ODISHA
2014,18,PUDUCHERRY
2014,884,PUNJAB
2014,2170,RAJASTHAN
2014,40,SIKKIM
2014,914,TAMIL NADU
2014,378,TRIPURA
2014,2628,UTTAR PRADESH
2014,294,UTTARAKHAND
2014,3462,WEST BENGAL
2015,6,A & N ISLANDS
2015,2140,ANDHRA PRADESH
2015,96,ARUNACHAL PRADESH
2015,2874,ASSAM
2015,3110,BIHAR
2015,44,CHANDIGARH
2015,1964,CHHATTISGARH
2015,14,D & N HAVELI
2015,2,DAMAN & DIU
2015,1196,DELHI
2015,40,GOA
2015,632,GUJARAT
2015,976,HARYANA
2015,318,HIMACHAL PRADESH
2015,576,JAMMU & KASHMIR
2015,1710,JHARKHAND
2015,872,KARNATAKA
2015,1024,KERALA
2015,2,LAKSHADWEEP
2015,6020,MADHYA PRADESH
2015,2902,MAHARASHTRA
2015,40,MANIPUR
2015,164,MEGHALAYA
2015,166,MIZORAM
2015,26,NAGALAND
2015,1878,ODISHA
2015,18,PUDUCHERRY
2015,1038,PUNJAB
2015,2476,RAJASTHAN
2015,48,SIKKIM
2015,1046,TAMIL NADU
2015,314,TRIPURA
2015,3296,UTTAR PRADESH
2015,234,UTTARAKHAND
2015,4212,WEST BENGAL
2016,24,A & N ISLANDS
2016,2514,ANDHRA PRADESH
2016,84,ARUNACHAL PRADESH
2016,2876,ASSAM
2016,2604,BIHAR
2016,40,CHANDIGARH
2016,1956,CHHATTISGARH
2016,12,D & N HAVELI
2016,0,DAMAN & DIU
2016,932,DELHI
2016,60,GOA
2016,748,GUJARAT
2016,1262,HARYANA
2016,314,HIMACHAL PRADESH
2016,438,JAMMU & KASHMIR
2016,1582,JHARKHAND
2016,892,KARNATAKA
2016,1136,KERALA
2016,4,LAKSHADWEEP
2016,5874,MADHYA PRADESH
2016,3116,MAHARASHTRA
2016,76,MANIPUR
2016,176,MEGHALAYA
2016,154,MIZORAM
2016,38,NAGALAND
2016,2226,ODISHA
2016,16,PUDUCHERRY
2016,1034,PUNJAB
2016,2710,RAJASTHAN
2016,40,SIKKIM
2016,1146,TAMIL NADU
2016,408,TRIPURA
2016,3742,UTTAR PRADESH
2016,174,UTTARAKHAND
2016,4526,WEST BENGAL
2017,36,A & N ISLANDS
2017,2376,ANDHRA PRADESH
2017,118,ARUNACHAL PRADESH
2017,3262,ASSAM
2017,1858,BIHAR
2017,58,CHANDIGARH
2017,1952,CHHATTISGARH
2017,8,D & N HAVELI
2017,2,DAMAN & DIU
2017,938,DELHI
2017,94,GOA
2017,866,GUJARAT
2017,1206,HARYANA
2017,366,HIMACHAL PRADESH
2017,474,JAMMU & KASHMIR
2017,1438,JHARKHAND
2017,1018,KARNATAKA
2017,1136,KERALA
2017,2,LAKSHADWEEP
2017,5996,MADHYA PRADESH
2017,2966,MAHARASHTRA
2017,62,MANIPUR
2017,224,MEGHALAYA
2017,166,MIZORAM
2017,44,NAGALAND
2017,2046,ODISHA
2017,2,PUDUCHERRY
2017,1022,PUNJAB
2017,3038,RAJASTHAN
2017,36,SIKKIM
2017,1192,TAMIL NADU
2017,380,TRIPURA
2017,3518,UTTAR PRADESH
2017,222,UTTARAKHAND
2017,4672,WEST BENGAL
2018,48,A & N ISLANDS
2018,2724,ANDHRA PRADESH
2018,94,ARUNACHAL PRADESH
2018,3442,ASSAM
2018,1590,BIHAR
2018,62,CHANDIGARH
2018,2024,CHHATTISGARH
2018,6,D & N HAVELI
2018,2,DAMAN & DIU
2018,1014,DELHI
2018,72,GOA
2018,816,GUJARAT
2018,1440,HARYANA
2018,320,HIMACHAL PRADESH
2018,490,JAMMU & KASHMIR
2018,1546,JHARKHAND
2018,1172,KARNATAKA
2018,1268,KERALA
2018,0,LAKSHADWEEP
2018,6270,MADHYA PRADESH
2018,3198,MAHARASHTRA
2018,68,MANIPUR
2018,298,MEGHALAYA
2018,184,MIZORAM
2018,32,NAGALAND
2018,2050,ODISHA
2018,6,PUDUCHERRY
2018,1092,PUNJAB
2018,3142,RAJASTHAN
2018,36,SIKKIM
2018,1372,TAMIL NADU
2018,476,TRIPURA
2018,3126,UTTAR PRADESH
2018,242,UTTARAKHAND
2018,4622,WEST BENGAL
2019,26,A & N ISLANDS
2019,2884,ANDHRA PRADESH
2019,84,ARUNACHAL PRADESH
2019,3400,ASSAM
2019,1868,BIHAR
2019,54,CHANDIGARH
2019,2106,CHHATTISGARH
2019,8,D & N HAVELI
2019,2,DAMAN & DIU
2019,1144,DELHI
2019,58,GOA
2019,878,GUJARAT
2019,1466,HARYANA
2019,336,HIMACHAL PRADESH
2019,554,JAMMU & KASHMIR
2019,1568,JHARKHAND
2019,1272,KARNATAKA
2019,2264,KERALA
2019,0,LAKSHADWEEP
2019,6812,MADHYA PRADESH
2019,3402,MAHARASHTRA
2019,106,MANIPUR
2019,260,MEGHALAYA
2019,154,MIZORAM
2019,46,NAGALAND
2019,2224,ODISHA
2019,14,PUDUCHERRY
2019,958,PUNJAB
2019,3600,RAJASTHAN
2019,32,SIKKIM
2019,1354,TAMIL NADU
2019,410,TRIPURA
2019,4084,UTTAR PRADESH
2019,258,UTTARAKHAND
2019,4726,WEST BENGAL
2020,24,A & N ISLANDS
2020,2682,ANDHRA PRADESH
2020,92,ARUNACHAL PRADESH
2020,3432,ASSAM
2020,1854,BIHAR
2020,54,CHANDIGARH
2020,2068,CHHATTISGARH
2020,6,D & N HAVELI
2020,10,DAMAN & DIU
2020,1412,DELHI
2020,110,GOA
2020,946,GUJARAT
2020,1336,HARYANA
2020,366,HIMACHAL PRADESH
2020,606,JAMMU & KASHMIR
2020,1624,JHARKHAND
2020,1242,KARNATAKA
2020,2038,KERALA
2020,0,LAKSHADWEEP
2020,6850,MADHYA PRADESH
2020,3678,MAHARASHTRA
2020,126,MANIPUR
2020,328,MEGHALAYA
2020,206,MIZORAM
2020,42,NAGALAND
2020,2916,ODISHA
2020,26,PUDUCHERRY
2020,1360,PUNJAB
2020,4098,RAJASTHAN
2020,68,SIKKIM
2020,1474,TAMIL NADU
2020,458,TRIPURA
2020,3926,UTTAR PRADESH
2020,296,UTTARAKHAND
2020,4092,WEST BENGAL
